City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Penzance,GB,2021-04-15 19:11:52,50.1186,-5.5371,46.0,61,4,18.41
122,Diffa,NE,2021-04-15 19:11:53,13.3154,12.6113,85.87,6,99,4.79
123,Melito Di Porto Salvo,IT,2021-04-15 19:11:53,37.9222,15.7714,55.4,82,90,5.75
124,Esperance,AU,2021-04-15 19:11:53,-33.8667,121.9,51.8,93,14,4.61
125,Cerrito,CO,2021-04-15 19:11:54,6.8432,-72.694,75.2,83,75,5.75
126,Georgetown,MY,2021-04-15 19:08:51,5.4112,100.3354,80.6,94,20,2.3
127,Salitral,PE,2021-04-15 19:11:54,-4.8572,-80.6811,88.07,43,94,9.35
128,Vestmannaeyjar,IS,2021-04-15 19:11:54,63.4427,-20.2734,48.2,93,90,19.57
129,Stokmarknes,NO,2021-04-15 19:11:55,68.5646,14.9108,41.0,87,40,10.36
130,Qaanaaq,GL,2021-04-15 19:11:07,77.484,-69.3632,1.22,76,12,3.18
131,Saint-Gilles,FR,2021-04-15 19:11:55,43.6766,4.4302,53.6,32,0,11.5
132,Papetoai,PF,2021-04-15 19:11:56,-17.4961,-149.8729,86.0,62,40,17.27
133,Seddon,AU,2021-04-15 19:11:56,-37.8068,144.8916,55.99,87,90,8.05
134,Cherskiy,RU,2021-04-15 19:09:20,68.75,161.3,13.98,93,100,5.88
135,Bilma,NE,2021-04-15 19:11:56,18.6853,12.9164,89.96,6,14,10.02
136,Harper,LR,2021-04-15 19:11:57,4.375,-7.7169,82.13,75,71,9.17
137,Cabo San Lucas,MX,2021-04-15 19:11:57,22.8909,-109.9124,86.0,44,20,9.22
138,Sault Sainte Marie,CA,2021-04-15 19:07:45,46.5168,-84.3333,42.8,70,90,17.27
139,Muros,ES,2021-04-15 19:11:58,42.7762,-9.0603,61.0,47,0,9.22
140,San Ramon De La Nueva Oran,AR,2021-04-15 19:11:58,-23.1322,-64.326,89.01,60,62,2.98
141,Kapaa,US,2021-04-15 19:11:20,22.0752,-159.319,77.0,65,40,9.22
142,Shingu,JP,2021-04-15 19:11:59,33.7333,135.9833,57.15,85,100,10.74
143,Kharan,PK,2021-04-15 19:11:59,28.5833,65.4167,69.37,53,10,8.05
144,Mareeba,AU,2021-04-15 19:11:59,-17.0,145.4333,71.6,83,90,5.75
145,Saint Anthony,US,2021-04-15 19:12:00,45.0205,-93.218,50.0,57,75,10.36
146,Pilar,BR,2021-04-15 19:11:25,-9.5972,-35.9567,80.6,78,20,8.05
147,Fairbanks,US,2021-04-15 19:10:09,64.8378,-147.7164,42.8,65,40,2.17
148,Sladkovo,RU,2021-04-15 19:12:00,55.5284,70.3385,45.54,85,47,11.25
149,Stornoway,GB,2021-04-15 19:12:01,58.2093,-6.3865,50.0,61,21,14.97
150,Clyde River,CA,2021-04-15 19:09:13,70.4692,-68.5914,5.0,78,20,25.32
151,Thinadhoo,MV,2021-04-15 19:12:01,0.5333,72.9333,83.17,66,69,6.76
152,Sitka,US,2021-04-15 19:10:37,57.0531,-135.33,42.8,87,75,3.44
153,Chokurdakh,RU,2021-04-15 19:12:02,70.6333,147.9167,-22.49,100,55,2.39
154,Dikson,RU,2021-04-15 19:12:02,73.5069,80.5464,-9.96,95,100,17.83
155,Shaowu,CN,2021-04-15 19:12:02,27.3409,117.4831,61.56,96,100,0.98
156,Alofi,NU,2021-04-15 19:12:03,-19.0595,-169.9187,66.2,94,24,1.14
157,Bocas Del Toro,PA,2021-04-15 19:07:31,9.3333,-82.25,69.01,87,100,6.82
