City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Kiunga,PG,-6.1219,141.2906,73.62,99,100,1.86,overcast clouds
145,Okhotsk,RU,59.3833,143.3,27.73,97,100,6.6,light snow
146,Port Lincoln,AU,-34.7333,135.8667,57.67,82,0,7.61,clear sky
147,Hithadhoo,MV,-0.6,73.0833,82.72,62,9,5.5,clear sky
148,Dudinka,RU,69.4058,86.1778,-12.21,98,43,8.52,scattered clouds
149,Malabo,GQ,3.75,8.7833,80.6,100,40,6.91,scattered clouds
150,Muravlenko,RU,63.7898,74.523,-1.95,94,70,13.27,broken clouds
151,Tangwani,PK,28.2787,68.9972,84.2,45,40,6.06,haze
152,Bloomfield,US,40.8068,-74.1854,62.6,34,90,5.75,overcast clouds
153,Rocha,UY,-34.4833,-54.3333,72.66,68,2,9.26,clear sky
154,Saint-Leu,RE,-21.15,55.2833,75.2,78,90,11.5,overcast clouds
155,Qeshm,IR,26.9581,56.2719,78.8,65,17,9.22,few clouds
156,Bayan,CN,46.0833,127.4,42.78,47,4,5.12,clear sky
157,Bereda,ES,43.2686,-7.5406,59.0,61,100,1.01,overcast clouds
158,Lebu,CL,-37.6167,-73.65,62.6,70,63,13.51,broken clouds
159,Marostica,IT,45.7468,11.6579,55.0,68,100,2.59,overcast clouds
160,Viedma,AR,-40.8135,-62.9967,75.47,58,18,18.9,few clouds
161,Moranbah,AU,-22.0016,148.0466,63.59,79,0,11.03,clear sky
162,Puerto Maldonado,PE,-12.6,-69.1833,86.0,74,40,4.61,scattered clouds
163,Torrington,US,41.8007,-73.1212,59.0,49,69,5.01,broken clouds
164,East London,ZA,-33.0153,27.9116,69.8,60,0,5.75,clear sky
165,Ariquemes,BR,-9.9133,-63.0408,82.31,77,98,2.37,light rain
166,Ginir,ET,7.1333,40.7,59.22,86,100,5.37,light rain
167,Antalaha,MG,-14.9003,50.2788,75.0,90,100,10.83,light rain
168,Canon City,US,38.441,-105.2424,53.6,32,1,6.91,clear sky
169,Santa Fe,AR,-31.6333,-60.7,84.99,48,88,3.0,overcast clouds
170,Shetpe,KZ,44.1667,52.1167,59.79,46,57,2.53,broken clouds
171,Ust-Koksa,RU,50.2696,85.6108,36.54,72,92,2.42,overcast clouds
172,Puerto Carreno,CO,6.189,-67.4859,95.63,34,100,8.99,overcast clouds
173,Chaman,PK,30.9236,66.4512,68.95,14,99,1.45,overcast clouds
174,Beringovskiy,RU,63.05,179.3167,28.92,97,100,4.5,overcast clouds
175,Pimenta Bueno,BR,-11.6725,-61.1936,81.09,78,99,2.46,overcast clouds
176,Sao Filipe,CV,14.8961,-24.4956,72.79,76,1,12.71,clear sky
177,Mocuba,MZ,-16.8392,36.9856,64.17,96,37,2.37,scattered clouds
178,Saldanha,ZA,-33.0117,17.9442,68.0,68,6,8.05,clear sky
179,Nouadhibou,MR,20.931,-17.0347,75.2,57,100,19.57,sand
180,Rawson,AR,-43.3002,-65.1023,75.51,37,100,18.12,overcast clouds
181,Sibolga,ID,1.7427,98.7792,75.49,90,100,1.86,overcast clouds
182,Kerman,IR,30.2832,57.0788,62.6,34,40,6.91,scattered clouds
183,San Rafael,AR,-34.6177,-68.3301,79.43,46,22,8.37,few clouds
184,Ternate,ID,0.8,127.4,78.85,84,100,13.31,light rain
185,Castro,BR,-24.7911,-50.0119,68.49,69,73,6.76,broken clouds
186,Thompson,CA,55.7435,-97.8558,24.8,42,1,9.22,clear sky
187,Bilibino,RU,68.0546,166.4372,18.84,90,100,7.0,light snow
188,Babayurt,RU,43.6002,46.7789,53.87,57,10,6.78,clear sky
189,Pahrump,US,36.2083,-115.9839,71.01,10,0,8.99,clear sky
190,Qaanaaq,GL,77.484,-69.3632,6.55,70,100,5.7,overcast clouds
191,Baft,IR,29.234,56.6057,56.1,39,96,6.22,overcast clouds
192,Ixtapa,MX,20.7,-105.2,78.8,61,1,12.66,clear sky
