City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Vao,NC,76.86,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
567,Puerto Quijarro,BO,88.45,overcast clouds,-17.7833,-57.7667,Hotel palance
573,Gameleira,BR,77.67,overcast clouds,-8.5844,-35.3867,Pousada vinte ver
574,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
582,Ugoofaaru,MV,84.52,overcast clouds,5.6667,73.0,Ungoofaaru Inn
584,Sogod,PH,76.37,heavy intensity rain,10.3847,124.9814,GV Tower Hotel - Sogod
590,Canoas,BR,78.8,broken clouds,-29.9178,-51.1836,Hotel Metropolitan
591,Galle,LK,80.96,scattered clouds,6.0367,80.217,Amangalla
593,Hurghada,EG,80.6,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
595,Pekan,MY,77.0,few clouds,3.4836,103.3996,Pekan Budget Hotel
601,Etah,IN,82.17,scattered clouds,27.6333,78.6667,क्षाया रेस्टोरेंट एंड फैमिली ढाबा
607,Iralaya,HN,89.6,broken clouds,15.0,-83.2333,Iglesia morava renovada
608,Poum,NC,77.68,overcast clouds,-20.2333,164.0167,Gîte kajeon
614,Rosarito,MX,81.0,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
618,Lamu,KE,80.6,light rain,-2.2717,40.902,Lamu House
619,Trat,TH,81.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
620,Aden,YE,81.1,broken clouds,12.7794,45.0367,Sama Emirate Hotel
626,Dawson,US,78.01,clear sky,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
627,Mouila,GA,76.59,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
628,Turayf,SA,82.4,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
630,Miragoane,HT,86.97,few clouds,18.4423,-73.0876,MMM K-TICHON
637,Sassandra,CI,80.47,overcast clouds,4.95,-6.0833,la terrasse
640,Luwuk,ID,75.6,light rain,-0.9516,122.7875,Hotel Santika Luwuk
646,Ico,BR,84.99,overcast clouds,-6.4011,-38.8622,Pousada Emanuella
647,Belmonte,BR,82.4,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
656,Kudahuvadhoo,MV,83.28,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
659,Nong Khai,TH,77.0,overcast clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
673,Marrakesh,MA,82.4,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
674,Le Vauclin,MQ,86.0,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
675,Aswan,EG,89.96,clear sky,24.0934,32.907,Nuba Nile
679,Cockburn Town,TC,82.4,clear sky,21.4612,-71.1419,Osprey Beach Hotel
680,Corrente,BR,75.6,overcast clouds,-3.7367,-43.3394,Chapadinhense Hotel
